Tm,Team
2TM,2TM
3TM,3TM
ARI,ARI
ATL,ATL
BAL,BAL
BUF,BUF
CAR,CAR
CHI,CHI
CIN,CIN
CLE,CLE
DAL,DAL
DEN,DEN
DET,DET
GNB,GB
HOU,HOU
IND,IND
JAX,JAC
KAN,KC
LAC,LAC
LAR,LAR
MIA,MIA
MIN,MIN
NOR,NO
NWE,NE
NYG,NYG
NYJ,NYJ
OAK,LV
PHI,PHI
PIT,PIT
SDG,LAC
SEA,SEA
SFO,SF
STL,LAR
TAM,TB
TEN,TEN
WAS,WAS
