FantasyPros.com 
2016 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Rob Gronkowski,FA,TE,1,1,0.00,
2,Jordan Reed,FA,TE,2,2,0.00,
3,Greg Olsen,SEA,TE,3,4,0.49,
4,Travis Kelce,KC,TE,3,6,1.02,
5,Delanie Walker,FA,TE,3,6,0.98,
6,Coby Fleener,FA,TE,3,10,2.40,
7,Gary Barnidge,FA,TE,7,12,1.85,
8,Zach Ertz,PHI,TE,7,9,0.80,
9,Martellus Bennett,FA,TE,7,11,1.62,
10,Julius Thomas,FA,TE,6,12,2.58,
11,Antonio Gates,FA,TE,8,13,1.79,
12,Dwayne Allen,FA,TE,11,16,1.67,
13,Jason Witten,LV,TE,10,18,3.60,
14,Tyler Eifert,JAC,TE,14,18,1.50,
15,Jared Cook,NO,TE,13,19,2.15,
16,Eric Ebron,PIT,TE,10,26,5.53,
17,Virgil Green,LAC,TE,14,20,2.00,
18,Zach Miller,FA,TE,15,20,2.10,
19,Vance McDonald,PIT,TE,15,21,2.14,
20,Clive Walford,MIA,TE,15,25,3.35,
21,Jimmy Graham,CHI,TE,17,25,2.79,
22,Charles Clay,FA,TE,14,27,4.64,
23,Kyle Rudolph,MIN,TE,20,24,1.47,
24,Jesse James,DET,TE,21,23,0.71,
25,Cameron Brate,TB,TE,19,30,4.78,
26,Austin Seferian-Jenkins,FA,TE,21,29,2.86,
27,Jordan Cameron,FA,TE,23,26,1.25,
28,Richard Rodgers,WAS,TE,25,25,0.00,
29,Will Tye,FA,TE,25,25,0.00,
30,Ladarius Green,FA,TE,27,27,0.00,
31,Jacob Tamme,FA,TE,28,28,0.00,
