FantasyPros.com 
2018 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Aaron Rodgers,GB,QB,1,3,0.80,
2,Cam Newton,FA,QB,1,5,1.36,
3,Russell Wilson,SEA,QB,2,5,0.98,
4,Deshaun Watson,HOU,QB,1,6,2.10,
5,Tom Brady,TB,QB,3,7,1.60,
6,Drew Brees,NO,QB,4,6,0.89,
7,Matthew Stafford,DET,QB,6,11,1.72,
8,Kirk Cousins,MIN,QB,7,10,1.36,
9,Philip Rivers,IND,QB,8,11,1.02,
10,Jimmy Garoppolo,SF,QB,7,15,3.12,
11,Ben Roethlisberger,PIT,QB,8,13,1.72,
12,Patrick Mahomes,KC,QB,8,19,3.72,
13,Matt Ryan,ATL,QB,10,18,3.01,
14,Jared Goff,LAR,QB,12,17,1.85,
15,Marcus Mariota,LV,QB,12,17,1.72,
16,Andrew Luck,FA,QB,14,18,1.50,
17,Alex Smith,WAS,QB,14,19,1.72,
18,Carson Wentz,PHI,QB,11,23,5.08,
19,Dak Prescott,DAL,QB,17,23,1.94,
20,Blake Bortles,FA,QB,18,24,2.32,
21,Andy Dalton,CIN,QB,17,27,3.43,
22,Eli Manning,FA,QB,18,25,2.64,
23,Case Keenum,CLE,QB,19,26,2.48,
24,Derek Carr,LV,QB,21,26,2.23,
25,Mitch Trubisky,CHI,QB,21,29,2.79,
26,Jameis Winston,FA,QB,24,27,0.98,
27,Tyrod Taylor,LAC,QB,18,31,4.86,
28,Ryan Tannehill,TEN,QB,25,28,1.10,
29,Joe Flacco,FA,QB,27,32,1.85,
30,Sam Darnold,NYJ,QB,28,33,1.79,
31,Sam Bradford,FA,QB,30,35,1.94,
32,Baker Mayfield,CLE,QB,31,35,1.47,
33,Josh Allen,BUF,QB,32,35,1.02,
34,Lamar Jackson,BAL,QB,29,36,2.76,
35,Josh Rosen,MIA,QB,34,36,0.89,
36,Nick Foles,CHI,QB,32,38,2.29,
37,Josh McCown,FA,QB,30,40,3.76,
38,Ryan Fitzpatrick,MIA,QB,37,37,0.00,
39,Jacoby Brissett,IND,QB,38,40,0.83,
40,Nathan Peterman,LV,QB,38,38,0.00,
41,Chad Kelly,IND,QB,39,39,0.00,
42,Teddy Bridgewater,CAR,QB,40,40,0.00,
