FantasyPros.com 
2018 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Rob Gronkowski,FA,TE,1,3,0.80,
2,Travis Kelce,KC,TE,2,2,0.00,
3,Zach Ertz,PHI,TE,1,4,0.98,
4,Jimmy Graham,CHI,TE,3,7,1.33,
5,Trey Burton,CHI,TE,4,7,1.02,
6,Evan Engram,NYG,TE,4,7,1.36,
7,Greg Olsen,SEA,TE,5,8,1.17,
8,Kyle Rudolph,MIN,TE,8,9,0.49,
9,David Njoku,CLE,TE,9,12,0.98,
10,Jordan Reed,FA,TE,10,15,1.85,
11,Jack Doyle,IND,TE,10,15,1.72,
12,George Kittle,SF,TE,10,13,1.17,
13,O.J. Howard,TB,TE,12,14,0.80,
14,Ricky Seals-Jones,KC,TE,14,21,2.87,
15,Tyler Eifert,JAC,TE,15,21,2.06,
16,Benjamin Watson,FA,TE,16,22,2.14,
17,Jared Cook,NO,TE,16,21,1.72,
18,Charles Clay,FA,TE,14,26,5.02,
19,Eric Ebron,PIT,TE,17,22,1.83,
20,Cameron Brate,TB,TE,15,25,3.44,
21,Austin Seferian-Jenkins,FA,TE,15,26,4.03,
22,Austin Hooper,CLE,TE,18,24,2.68,
23,Mike Gesicki,MIA,TE,23,25,0.89,
24,Vance McDonald,PIT,TE,19,28,3.19,
25,Jake Butt,DEN,TE,19,28,3.54,
26,Antonio Gates,FA,TE,22,28,2.17,
27,Vernon Davis,FA,TE,24,30,2.35,
28,Dallas Goedert,PHI,TE,25,35,3.63,
29,Tyler Kroft,BUF,TE,30,30,0.00,
30,Luke Willson,SEA,TE,27,32,2.50,
31,Jordan Akins,HOU,TE,29,34,2.16,
32,Gerald Everett,LAR,TE,28,33,2.50,
33,Hayden Hurst,ATL,TE,31,35,1.89,
34,Jonnu Smith,TEN,TE,27,27,0.00,
35,Nick Vannett,DEN,TE,33,40,2.92,
36,Virgil Green,LAC,TE,29,36,3.50,
37,Ed Dickson,FA,TE,31,31,0.00,
38,Blake Jarwin,DAL,TE,32,35,1.50,
39,Garrett Celek,FA,TE,32,32,0.00,
40,Jesse James,DET,TE,34,34,0.00,
41,Tyler Higbee,LAR,TE,34,34,0.00,
42,Mark Andrews,BAL,TE,37,37,0.00,
43,Adam Shaheen,CHI,TE,38,38,0.00,
44,Dwayne Allen,FA,TE,39,39,0.00,
