FantasyPros.com 
2018 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Antonio Brown,FA,WR,1,1,0.00,
2,DeAndre Hopkins,ARI,WR,2,2,0.00,
3,Odell Beckham Jr.,CLE,WR,3,4,0.40,
4,Julio Jones,ATL,WR,3,4,0.40,
5,Michael Thomas,NO,WR,5,7,0.80,
6,Keenan Allen,LAC,WR,5,7,0.89,
7,Davante Adams,GB,WR,6,7,0.49,
8,A.J. Green,CIN,WR,8,10,0.80,
9,Mike Evans,TB,WR,9,13,1.41,
10,Stefon Diggs,BUF,WR,9,13,1.67,
11,Tyreek Hill,KC,WR,8,14,2.58,
12,T.Y. Hilton,IND,WR,8,23,5.31,
13,Adam Thielen,MIN,WR,10,16,2.00,
14,Larry Fitzgerald,ARI,WR,11,18,2.61,
15,Amari Cooper,DAL,WR,11,20,3.14,
16,JuJu Smith-Schuster,PIT,WR,15,18,1.10,
17,Golden Tate,NYG,WR,15,23,2.83,
18,Jarvis Landry,CLE,WR,14,22,2.93,
19,Chris Hogan,FA,WR,16,25,2.94,
20,Josh Gordon,FA,WR,10,35,8.84,
21,Doug Baldwin,FA,WR,14,27,4.13,
22,Demaryius Thomas,FA,WR,15,24,3.12,
23,Corey Davis,TEN,WR,17,30,4.67,
24,Allen Robinson,CHI,WR,19,32,4.77,
25,Marquise Goodwin,SF,WR,20,30,3.77,
26,Emmanuel Sanders,NO,WR,24,26,0.80,
27,Marvin Jones,DET,WR,21,32,4.12,
28,Brandin Cooks,HOU,WR,22,34,4.03,
29,Jamison Crowder,NYJ,WR,27,32,1.85,
30,Robert Woods,LAR,WR,24,37,4.43,
31,Robby Anderson,CAR,WR,24,36,4.18,
32,Michael Crabtree,FA,WR,25,40,6.65,
33,Cooper Kupp,LAR,WR,25,38,4.76,
34,Will Fuller,HOU,WR,28,41,4.45,
35,Devin Funchess,GB,WR,32,40,2.79,
36,Sammy Watkins,KC,WR,31,47,5.87,
37,Kenny Stills,HOU,WR,31,43,4.66,
38,Nelson Agholor,LV,WR,29,46,6.31,
39,Alshon Jeffery,PHI,WR,35,48,4.50,
40,Jordy Nelson,FA,WR,38,44,2.14,
41,Pierre Garcon,FA,WR,36,46,4.63,
42,Sterling Shepard,NYG,WR,36,50,4.63,
43,Kenny Golladay,DET,WR,38,49,3.54,
44,Julian Edelman,NE,WR,41,48,2.45,
45,Mike Williams,LAC,WR,41,61,7.24,
46,Kelvin Benjamin,FA,WR,45,53,2.80,
47,Tyler Lockett,SEA,WR,41,59,6.34,
48,Michael Gallup,DAL,WR,47,59,4.41,
49,Keelan Cole,JAC,WR,33,74,14.22,
50,John Ross,CIN,WR,41,57,5.85,
51,Rishard Matthews,FA,WR,42,62,7.58,
52,John Brown,BUF,WR,45,58,5.00,
53,D.J. Moore,CAR,WR,39,67,9.60,
54,Chris Godwin,TB,WR,52,56,1.60,
55,Randall Cobb,HOU,WR,52,64,4.36,
56,Josh Doctson,NYJ,WR,55,62,2.56,
57,Mike Wallace,FA,WR,40,77,11.84,
58,Dede Westbrook,JAC,WR,50,70,7.42,
59,Danny Amendola,DET,WR,48,80,11.46,
60,Anthony Miller,CHI,WR,49,83,12.22,
61,Allen Hurns,MIA,WR,56,65,3.52,
62,Mohamed Sanu,NE,WR,59,66,2.48,
63,DeSean Jackson,PHI,WR,53,75,7.66,
64,Ted Ginn,NO,WR,47,71,8.98,
65,Cameron Meredith,FA,WR,54,87,12.40,
66,Courtland Sutton,DEN,WR,50,75,8.48,
67,Tyrell Williams,LV,WR,45,69,9.15,
68,Quincy Enunwa,NYJ,WR,51,73,8.04,
69,Paul Richardson Jr.,FA,WR,52,82,11.28,
70,Geronimo Allison,DET,WR,64,74,3.88,
71,DeVante Parker,MIA,WR,58,72,5.12,
72,Calvin Ridley,ATL,WR,56,74,7.15,
73,James Washington,PIT,WR,67,77,3.83,
74,Ryan Grant,FA,WR,69,74,1.80,
75,Cole Beasley,BUF,WR,69,81,4.53,
76,Taywan Taylor,CLE,WR,67,79,4.97,
77,Dez Bryant,FA,WR,59,84,9.04,
78,Christian Kirk,ARI,WR,69,80,4.32,
79,Albert Wilson,MIA,WR,63,78,6.16,
80,Tre'Quan Smith,NO,WR,70,77,3.09,
81,Terrelle Pryor,FA,WR,72,87,6.42,
82,Donte Moncrief,FA,WR,66,85,7.85,
83,Dante Pettis,SF,WR,73,84,4.64,
84,Phillip Dorsett,SEA,WR,70,80,5.00,
85,Willie Snead,BAL,WR,78,96,8.26,
86,Trent Taylor,SF,WR,76,95,9.50,
87,Brandon Marshall,FA,WR,77,77,0.00,
88,Keke Coutee,HOU,WR,82,86,2.00,
89,Brice Butler,FA,WR,80,80,0.00,
90,Torrey Smith,FA,WR,82,82,0.00,
91,Chester Rogers,FA,WR,83,83,0.00,
92,Martavis Bryant,FA,WR,84,110,13.00,
93,Cordarrelle Patterson,CHI,WR,85,85,0.00,
94,Jaron Brown,FA,WR,85,112,13.50,
95,Equanimeous St. Brown,GB,WR,86,86,0.00,
96,Taylor Gabriel,FA,WR,88,88,0.00,
97,Jermaine Kearse,FA,WR,88,98,5.00,
98,Terrance Williams,FA,WR,89,89,0.00,
99,Antonio Callaway,FA,WR,89,100,5.50,
100,Jeremy Kerley,FA,WR,90,90,0.00,
101,Kevin White,FA,WR,90,108,9.00,
102,J.J. Nelson,FA,WR,91,91,0.00,
103,Tavon Austin,FA,WR,92,92,0.00,
104,Curtis Samuel,CAR,WR,93,93,0.00,
105,Kendall Wright,FA,WR,94,94,0.00,
106,Marquez Valdes-Scantling,GB,WR,97,97,0.00,
107,Adam Humphries,TEN,WR,99,99,0.00,
108,Seth Roberts,CAR,WR,101,101,0.00,
109,Zay Jones,LV,WR,102,102,0.00,
110,Bruce Ellington,FA,WR,103,103,0.00,
111,Cody Latimer,WAS,WR,104,104,0.00,
112,D.J. Chark,JAC,WR,105,105,0.00,
113,Tyler Boyd,CIN,WR,106,106,0.00,
114,Mack Hollins,MIA,WR,107,107,0.00,
115,Travis Benjamin,SF,WR,109,109,0.00,
116,DaeSean Hamilton,DEN,WR,111,111,0.00,
117,Laquon Treadwell,ATL,WR,113,113,0.00,
