FantasyPros.com 
2018 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Todd Gurley,ATL,RB,1,2,0.40,
2,David Johnson,HOU,RB,1,5,1.36,
3,Ezekiel Elliott,DAL,RB,3,3,0.00,
4,Alvin Kamara,NO,RB,4,6,0.80,
5,Saquon Barkley,NYG,RB,4,7,1.17,
6,Kareem Hunt,CLE,RB,5,9,1.60,
7,Melvin Gordon,DEN,RB,6,9,1.17,
8,Leonard Fournette,JAC,RB,4,12,2.65,
9,Le'Veon Bell,NYJ,RB,2,13,3.54,
10,Christian McCaffrey,CAR,RB,8,14,2.15,
11,Dalvin Cook,MIN,RB,10,13,1.36,
12,Devonta Freeman,FA,RB,10,15,2.10,
13,Jordan Howard,MIA,RB,11,14,1.26,
14,Joe Mixon,CIN,RB,12,17,2.24,
15,Kenyan Drake,ARI,RB,12,21,3.14,
16,Royce Freeman,DEN,RB,13,25,4.36,
17,Jay Ajayi,FA,RB,16,20,1.60,
18,Alex Collins,FA,RB,15,21,2.53,
19,Derrick Henry,TEN,RB,16,22,2.06,
20,LeSean McCoy,FA,RB,16,21,2.06,
21,Lamar Miller,FA,RB,16,25,3.03,
22,Dion Lewis,NYG,RB,19,27,2.76,
23,Rex Burkhead,NE,RB,19,24,1.85,
24,Marshawn Lynch,FA,RB,23,30,2.87,
25,Carlos Hyde,FA,RB,24,29,1.85,
26,Mark Ingram II,BAL,RB,23,30,2.32,
27,Alfred Morris,FA,RB,23,35,3.88,
28,Chris Carson,SEA,RB,26,32,2.15,
29,Peyton Barber,WAS,RB,26,34,2.93,
30,Jamaal Williams,GB,RB,22,36,4.71,
31,Tevin Coleman,SF,RB,25,38,4.71,
32,Isaiah Crowell,FA,RB,30,37,2.79,
33,Kerryon Johnson,DET,RB,26,44,6.68,
34,Adrian Peterson,WAS,RB,28,43,5.15,
35,Tarik Cohen,CHI,RB,32,47,5.49,
36,Sony Michel,NE,RB,33,42,3.31,
37,Chris Thompson,FA,RB,32,42,4.08,
38,Duke Johnson,HOU,RB,32,42,3.90,
39,Rashaad Penny,SEA,RB,31,51,6.97,
40,Matt Breida,SF,RB,36,50,5.83,
41,Latavius Murray,NO,RB,40,50,3.71,
42,Bilal Powell,FA,RB,34,55,7.20,
43,Aaron Jones,GB,RB,38,53,4.96,
44,James White,NE,RB,43,47,1.26,
45,C.J. Anderson,FA,RB,37,51,5.28,
46,Marlon Mack,IND,RB,39,49,3.56,
47,Jordan Wilkins,IND,RB,39,50,4.12,
48,LeGarrette Blount,FA,RB,41,56,6.15,
49,Giovani Bernard,CIN,RB,34,55,7.81,
50,Ronald Jones II,TB,RB,38,60,7.59,
51,Corey Clement,FA,RB,41,54,5.02,
52,Ty Montgomery,FA,RB,41,63,7.34,
53,Nick Chubb,CLE,RB,44,73,10.73,
54,Theo Riddick,FA,RB,49,62,4.53,
55,James Conner,PIT,RB,41,70,10.76,
56,Devontae Booker,DEN,RB,51,58,2.55,
57,Austin Ekeler,LAC,RB,53,64,3.97,
58,Doug Martin,FA,RB,58,67,3.25,
59,Frank Gore,FA,RB,52,67,5.45,
60,Chris Ivory,FA,RB,60,72,4.32,
61,Nyheim Hines,IND,RB,52,66,5.59,
62,Spencer Ware,KC,RB,54,79,8.08,
63,T.J. Yeldon,BUF,RB,58,68,3.94,
64,Darren Sproles,FA,RB,56,65,3.74,
65,Robert Kelley,FA,RB,58,76,5.82,
66,John Kelly,LAR,RB,52,75,8.86,
67,Chase Edmonds,ARI,RB,64,72,3.00,
68,Javorius Allen,NYG,RB,57,61,2.00,
69,Boston Scott,PHI,RB,57,67,5.00,
70,Kenneth Dixon,NYJ,RB,61,73,5.10,
71,Corey Grant,FA,RB,59,80,8.60,
72,Wayne Gallman,NYG,RB,62,67,2.50,
73,Christine Michael,FA,RB,61,75,6.18,
74,Samaje Perine,MIA,RB,59,74,7.50,
75,Kalen Ballage,MIA,RB,64,78,5.79,
76,Alfred Blue,FA,RB,65,69,2.00,
77,Jonathan Stewart,FA,RB,68,71,1.50,
78,Jacquizz Rodgers,FA,RB,63,63,0.00,
79,Mike Gillislee,FA,RB,68,68,0.00,
80,Ameer Abdullah,MIN,RB,70,70,0.00,
81,Rod Smith,LV,RB,71,77,3.00,
82,Kyle Juszczyk,SF,RB,72,72,0.00,
83,C.J. Prosise,SEA,RB,74,74,0.00,
84,D'Onta Foreman,FA,RB,76,76,0.00,
