FantasyPros.com 
2019 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Ezekiel Elliott,DAL,RB,1,4,1.10,
2,Saquon Barkley,NYG,RB,1,3,0.75,
3,Alvin Kamara,NO,RB,1,5,1.26,
4,Christian McCaffrey,CAR,RB,1,4,1.20,
5,Nick Chubb,CLE,RB,2,6,1.55,
6,David Johnson,HOU,RB,5,8,1.20,
7,James Conner,PIT,RB,5,9,1.41,
8,Dalvin Cook,MIN,RB,7,10,1.02,
9,Le'Veon Bell,NYJ,RB,6,12,2.15,
10,Joe Mixon,CIN,RB,9,14,2.10,
11,Kerryon Johnson,DET,RB,11,15,1.60,
12,Devonta Freeman,FA,RB,9,18,3.01,
13,Aaron Jones,GB,RB,10,19,3.14,
14,Chris Carson,SEA,RB,11,21,3.31,
15,Derrick Henry,TEN,RB,11,19,2.94,
16,Leonard Fournette,JAC,RB,11,19,3.01,
17,Todd Gurley,ATL,RB,13,20,3.19,
18,David Montgomery,CHI,RB,10,22,4.20,
19,Marlon Mack,IND,RB,12,24,4.77,
20,Damien Williams,KC,RB,14,27,4.72,
21,Sony Michel,NE,RB,16,23,3.06,
22,Mark Ingram II,BAL,RB,17,23,1.96,
23,Josh Jacobs,LV,RB,18,22,1.60,
24,Duke Johnson,HOU,RB,16,34,5.78,
25,Miles Sanders,PHI,RB,24,33,3.16,
26,James White,NE,RB,25,31,2.33,
27,Tevin Coleman,SF,RB,24,30,2.40,
28,Phillip Lindsay,DEN,RB,23,34,4.54,
29,Derrius Guice,WAS,RB,25,33,2.65,
30,Kenyan Drake,ARI,RB,25,37,4.08,
31,Latavius Murray,NO,RB,28,35,3.14,
32,Matt Breida,SF,RB,28,40,4.13,
33,Melvin Gordon,DEN,RB,24,39,5.39,
34,Austin Ekeler,LAC,RB,32,38,2.71,
35,Devin Singletary,BUF,RB,28,38,3.56,
36,Tarik Cohen,CHI,RB,31,40,3.50,
37,Royce Freeman,DEN,RB,30,39,3.43,
38,Rashaad Penny,SEA,RB,27,41,5.22,
39,Darrell Henderson,LAR,RB,28,43,5.33,
40,LeSean McCoy,FA,RB,36,51,5.71,
41,Jordan Howard,MIA,RB,35,54,6.88,
42,Justin Jackson,LAC,RB,38,51,4.32,
43,Justice Hill,BAL,RB,42,50,2.93,
44,Dion Lewis,NYG,RB,40,50,3.83,
45,Kalen Ballage,MIA,RB,42,57,5.60,
46,Peyton Barber,WAS,RB,41,64,8.30,
47,Jaylen Samuels,PIT,RB,45,58,4.53,
48,Chris Thompson,FA,RB,41,64,7.53,
49,Malcolm Brown,LAR,RB,41,64,9.41,
50,Darwin Thompson,KC,RB,46,62,5.64,
51,Nyheim Hines,IND,RB,46,59,4.54,
52,Giovani Bernard,CIN,RB,47,58,3.60,
53,Damien Harris,NE,RB,42,70,11.74,
54,Ronald Jones II,TB,RB,44,62,6.08,
55,Adrian Peterson,WAS,RB,43,73,11.03,
56,Ito Smith,ATL,RB,40,63,8.26,
57,Ty Montgomery,FA,RB,43,75,10.69,
58,Alexander Mattison,MIN,RB,46,69,8.89,
59,Tony Pollard,DAL,RB,47,79,11.25,
60,Dare Ogunbowale,TB,RB,53,61,3.19,
61,Mike Davis,CAR,RB,54,64,3.90,
62,Carlos Hyde,FA,RB,54,67,4.84,
63,Frank Gore,FA,RB,55,70,4.83,
64,Jalen Richard,LV,RB,48,74,10.59,
65,C.J. Anderson,FA,RB,54,72,6.40,
66,T.J. Yeldon,BUF,RB,58,70,4.98,
67,Kareem Hunt,CLE,RB,59,71,3.82,
68,Chase Edmonds,ARI,RB,61,69,2.65,
69,Jamaal Williams,GB,RB,59,63,1.66,
70,Ryquell Armstead,JAC,RB,67,76,3.29,
71,Rex Burkhead,NE,RB,61,74,4.82,
72,Gus Edwards,BAL,RB,65,75,3.96,
73,Brian Hill,ATL,RB,68,71,1.25,
74,Damarea Crockett,GB,RB,66,88,8.92,
75,Corey Clement,FA,RB,67,83,6.60,
76,Dontrell Hilliard,CLE,RB,70,72,1.00,
77,Wayne Gallman,NYG,RB,74,79,2.05,
78,Jordan Scarlett,CAR,RB,72,80,3.56,
79,Benny Snell Jr.,PIT,RB,75,80,2.05,
80,Dexter Williams,GB,RB,76,76,0.00,
81,Bilal Powell,FA,RB,73,73,0.00,
82,Ty Johnson,DET,RB,73,73,0.00,
83,Darren Sproles,FA,RB,77,86,4.50,
84,Wendell Smallwood,WAS,RB,78,78,0.00,
85,D'Ernest Johnson,CLE,RB,78,78,0.00,
86,Devontae Booker,DEN,RB,84,84,0.00,
87,Alfred Morris,FA,RB,80,89,4.50,
88,Myles Gaskin,MIA,RB,81,81,0.00,
89,Mike Boone,MIN,RB,82,87,2.50,
90,Elijah McGuire,KC,RB,82,90,4.00,
91,Trayveon Williams,CIN,RB,83,83,0.00,
92,Jordan Wilkins,IND,RB,85,85,0.00,
93,Qadree Ollison,ATL,RB,85,85,0.00,
94,Theo Riddick,FA,RB,86,86,0.00,
95,Devine Ozigbo,JAC,RB,87,87,0.00,
