FantasyPros.com 
2019 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Patrick Mahomes,KC,QB,1,2,0.40,
2,Deshaun Watson,HOU,QB,1,2,0.40,
3,Aaron Rodgers,GB,QB,3,4,0.49,
4,Matt Ryan,ATL,QB,3,6,1.36,
5,Baker Mayfield,CLE,QB,3,6,1.10,
6,Carson Wentz,PHI,QB,5,9,1.33,
7,Russell Wilson,SEA,QB,4,10,2.24,
8,Cam Newton,FA,QB,8,11,0.98,
9,Lamar Jackson,BAL,QB,5,17,4.20,
10,Kyler Murray,ARI,QB,6,15,3.26,
11,Jameis Winston,FA,QB,10,13,1.17,
12,Drew Brees,NO,QB,5,17,4.53,
13,Jared Goff,LAR,QB,8,17,3.16,
14,Dak Prescott,DAL,QB,11,16,1.79,
15,Ben Roethlisberger,PIT,QB,11,18,2.45,
16,Philip Rivers,IND,QB,14,16,0.80,
17,Jimmy Garoppolo,SF,QB,12,23,4.60,
18,Mitch Trubisky,CHI,QB,13,22,2.90,
19,Kirk Cousins,MIN,QB,15,20,1.85,
20,Tom Brady,TB,QB,17,20,1.02,
21,Josh Allen,BUF,QB,13,22,3.31,
22,Sam Darnold,NYJ,QB,21,23,0.80,
23,Matthew Stafford,DET,QB,23,24,0.49,
24,Jacoby Brissett,IND,QB,21,27,2.19,
25,Derek Carr,LV,QB,23,27,1.60,
26,Andy Dalton,CIN,QB,25,27,0.75,
27,Nick Foles,CHI,QB,24,30,2.32,
28,Joe Flacco,FA,QB,26,30,1.26,
29,Marcus Mariota,LV,QB,26,30,1.36,
30,Eli Manning,FA,QB,30,31,0.49,
31,Ryan Fitzpatrick,MIA,QB,28,34,2.28,
32,Josh Rosen,MIA,QB,28,36,2.95,
33,Case Keenum,CLE,QB,32,35,1.30,
34,Dwayne Haskins,WAS,QB,31,37,2.19,
35,Daniel Jones,NYG,QB,32,34,0.83,
36,Ryan Tannehill,TEN,QB,33,37,1.66,
37,Taysom Hill,NO,QB,36,36,0.00,
38,Nick Mullens,SF,QB,36,36,0.00,
