FantasyPros.com 
2019 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,DeAndre Hopkins,ARI,WR,1,2,0.40,
2,Davante Adams,GB,WR,1,4,0.98,
3,Michael Thomas,NO,WR,3,7,1.55,
4,JuJu Smith-Schuster,PIT,WR,2,7,1.85,
5,Julio Jones,ATL,WR,3,6,1.02,
6,Tyreek Hill,KC,WR,5,7,0.89,
7,Odell Beckham Jr.,CLE,WR,4,8,1.60,
8,Mike Evans,TB,WR,6,8,0.80,
9,Keenan Allen,LAC,WR,9,12,1.20,
10,Adam Thielen,MIN,WR,10,12,0.75,
11,Chris Godwin,TB,WR,9,15,2.32,
12,Amari Cooper,DAL,WR,11,15,1.36,
13,Brandin Cooks,HOU,WR,10,25,5.38,
14,Stefon Diggs,BUF,WR,10,22,4.35,
15,Robert Woods,LAR,WR,10,21,3.54,
16,Tyler Lockett,SEA,WR,13,24,3.61,
17,Julian Edelman,NE,WR,13,30,6.24,
18,Tyler Boyd,CIN,WR,14,22,2.87,
19,T.Y. Hilton,IND,WR,16,26,4.12,
20,Kenny Golladay,DET,WR,14,29,4.94,
21,Mike Williams,LAC,WR,18,28,4.02,
22,Allen Robinson,CHI,WR,19,27,2.80,
23,Calvin Ridley,ATL,WR,20,29,3.92,
24,Cooper Kupp,LAR,WR,22,28,2.14,
25,D.J. Moore,CAR,WR,15,31,5.71,
26,Robby Anderson,CAR,WR,23,30,2.28,
27,Antonio Brown,FA,WR,19,37,5.92,
28,Alshon Jeffery,PHI,WR,21,30,3.01,
29,Josh Gordon,FA,WR,18,33,5.64,
30,Dede Westbrook,JAC,WR,20,36,5.75,
31,Curtis Samuel,CAR,WR,27,33,2.15,
32,Will Fuller,HOU,WR,24,44,6.47,
33,Jarvis Landry,CLE,WR,24,41,5.46,
34,Christian Kirk,ARI,WR,26,38,4.66,
35,Sterling Shepard,NYG,WR,32,37,1.79,
36,Larry Fitzgerald,ARI,WR,29,48,7.07,
37,Corey Davis,TEN,WR,34,47,4.62,
38,Marvin Jones,DET,WR,33,46,4.41,
39,Michael Gallup,DAL,WR,34,45,3.66,
40,Sammy Watkins,KC,WR,36,49,5.00,
41,Marquez Valdes-Scantling,GB,WR,35,51,5.27,
42,A.J. Green,CIN,WR,35,46,3.76,
43,Donte Moncrief,FA,WR,36,50,5.88,
44,Emmanuel Sanders,NO,WR,40,49,4.03,
45,Dante Pettis,SF,WR,33,51,6.13,
46,Geronimo Allison,DET,WR,39,53,4.72,
47,Jamison Crowder,NYJ,WR,37,52,5.11,
48,Anthony Miller,CHI,WR,40,51,4.17,
49,Courtland Sutton,DEN,WR,39,53,5.18,
50,DeSean Jackson,PHI,WR,43,56,5.00,
51,Keke Coutee,HOU,WR,46,57,4.31,
52,Marquise Goodwin,SF,WR,45,55,3.63,
53,John Brown,BUF,WR,45,60,4.96,
54,Tyrell Williams,LV,WR,44,66,8.01,
55,Devin Funchess,GB,WR,48,66,6.34,
56,DaeSean Hamilton,DEN,WR,52,64,4.75,
57,Golden Tate,NYG,WR,55,70,6.40,
58,Deebo Samuel,SF,WR,55,69,4.63,
59,James Washington,PIT,WR,58,68,4.63,
60,D.K. Metcalf,SEA,WR,58,70,4.34,
61,DeVante Parker,MIA,WR,54,75,7.63,
62,Mohamed Sanu,NE,WR,57,72,4.96,
63,Kenny Stills,HOU,WR,57,68,4.32,
64,Adam Humphries,TEN,WR,53,74,6.76,
65,Albert Wilson,MIA,WR,50,78,9.87,
66,Tre'Quan Smith,NO,WR,60,72,4.27,
67,Zay Jones,LV,WR,66,73,2.33,
68,Ted Ginn,NO,WR,56,89,12.04,
69,Quincy Enunwa,NYJ,WR,63,94,10.65,
70,Trey Quinn,WAS,WR,71,78,2.48,
71,Parris Campbell,IND,WR,56,88,13.95,
72,Rashard Higgins,FA,WR,62,77,5.97,
73,Taylor Gabriel,FA,WR,71,77,2.35,
74,N'Keal Harry,NE,WR,57,106,21.34,
75,Robert Foster,BUF,WR,61,105,16.33,
76,KeeSean Johnson,ARI,WR,59,79,8.50,
77,Randall Cobb,HOU,WR,76,86,3.57,
78,Mecole Hardman,KC,WR,64,78,6.38,
79,D.J. Chark,JAC,WR,66,84,7.72,
80,A.J. Brown,TEN,WR,74,97,9.01,
81,Nelson Agholor,LV,WR,61,95,14.51,
82,Danny Amendola,DET,WR,64,87,9.46,
83,Breshad Perriman,NYJ,WR,65,99,13.89,
84,Phillip Dorsett,SEA,WR,78,86,3.30,
85,Hunter Renfrow,LV,WR,67,111,19.14,
86,Cole Beasley,BUF,WR,69,75,3.00,
87,John Ross,CIN,WR,76,101,10.80,
88,Demaryius Thomas,FA,WR,77,91,6.38,
89,Marqise Lee,JAC,WR,74,107,14.35,
90,Paul Richardson Jr.,FA,WR,70,84,7.00,
91,Antonio Callaway,FA,WR,73,115,17.66,
92,Miles Boykin,BAL,WR,63,96,16.50,
93,Jalen Hurd,SF,WR,79,80,0.50,
94,Jaron Brown,FA,WR,79,82,1.50,
95,Josh Reynolds,LAR,WR,72,98,13.00,
96,Andy Isabella,ARI,WR,81,107,10.78,
97,Marquise Brown,BAL,WR,87,91,2.00,
98,Trent Taylor,SF,WR,79,102,11.50,
99,Willie Snead,BAL,WR,85,98,6.50,
100,Josh Doctson,NYJ,WR,80,112,13.47,
101,David Moore,SEA,WR,79,118,16.13,
102,Jake Kumerow,GB,WR,88,116,14.00,
103,Preston Williams,MIA,WR,89,89,0.00,
104,Chris Conley,JAC,WR,95,102,3.50,
105,Taywan Taylor,CLE,WR,92,106,7.00,
106,Chris Hogan,FA,WR,93,105,6.00,
107,Diontae Johnson,PIT,WR,93,93,0.00,
108,Demarcus Robinson,KC,WR,100,101,0.50,
109,Terry McLaurin,WAS,WR,94,120,13.00,
110,Cordarrelle Patterson,CHI,WR,96,96,0.00,
111,Keelan Cole,JAC,WR,97,108,5.50,
112,Michael Crabtree,FA,WR,99,99,0.00,
113,J.J. Arcega-Whiteside,PHI,WR,100,109,4.50,
114,Chester Rogers,FA,WR,103,103,0.00,
115,Keith Kirkwood,CAR,WR,104,104,0.00,
116,Emmanuel Butler,NO,WR,110,110,0.00,
117,Tim Patrick,DEN,WR,113,113,0.00,
118,Jakobi Meyers,NE,WR,114,114,0.00,
119,Damion Willis,CIN,WR,117,117,0.00,
120,J.J. Nelson,FA,WR,119,119,0.00,
