FantasyPros.com 
2017 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,Antonio Brown,FA,WR,1,1,0.00,
2,Odell Beckham Jr.,CLE,WR,2,4,0.94,
3,Julio Jones,ATL,WR,3,3,0.00,
4,Mike Evans,TB,WR,2,5,1.25,
5,A.J. Green,CIN,WR,4,6,0.82,
6,Michael Thomas,NO,WR,5,7,0.94,
7,Jordy Nelson,FA,WR,6,7,0.47,
8,Doug Baldwin,FA,WR,8,11,1.41,
9,Dez Bryant,FA,WR,8,10,0.82,
10,Brandin Cooks,HOU,WR,9,12,1.25,
11,Amari Cooper,DAL,WR,9,13,1.70,
12,Demaryius Thomas,FA,WR,11,17,2.49,
13,Keenan Allen,LAC,WR,12,18,2.62,
14,Davante Adams,GB,WR,12,18,2.49,
15,T.Y. Hilton,IND,WR,14,16,0.94,
16,DeAndre Hopkins,ARI,WR,11,19,3.40,
17,Terrelle Pryor,FA,WR,14,21,2.94,
18,Golden Tate,NYG,WR,17,23,2.49,
19,Tyreek Hill,KC,WR,19,22,1.25,
20,Emmanuel Sanders,NO,WR,18,26,3.56,
21,Michael Crabtree,FA,WR,15,29,5.79,
22,Kelvin Benjamin,FA,WR,15,26,4.97,
23,Alshon Jeffery,PHI,WR,20,27,2.94,
24,Larry Fitzgerald,ARI,WR,15,33,7.35,
25,Jamison Crowder,NYJ,WR,23,26,1.25,
26,Allen Robinson,CHI,WR,24,27,1.25,
27,Martavis Bryant,FA,WR,22,31,3.86,
28,Jarvis Landry,CLE,WR,20,38,7.35,
29,Stefon Diggs,BUF,WR,27,31,1.63,
30,DeVante Parker,MIA,WR,23,38,6.24,
31,Sammy Watkins,KC,WR,28,35,3.30,
32,Pierre Garcon,FA,WR,30,36,2.62,
33,DeSean Jackson,PHI,WR,32,35,1.41,
34,Chris Hogan,FA,WR,30,40,4.71,
35,Tyrell Williams,LV,WR,32,38,2.62,
36,Rishard Matthews,FA,WR,35,40,2.16,
37,Brandon Marshall,FA,WR,33,43,4.19,
38,Jeremy Maclin,FA,WR,34,41,3.09,
39,Kenny Britt,FA,WR,34,44,4.19,
40,Randall Cobb,HOU,WR,37,47,4.71,
41,Corey Coleman,NYG,WR,34,46,5.44,
42,Adam Thielen,MIN,WR,33,49,6.80,
43,Eric Decker,FA,WR,42,43,0.47,
44,Donte Moncrief,FA,WR,39,51,5.10,
45,Willie Snead,BAL,WR,39,49,4.19,
46,Ted Ginn,NO,WR,42,48,2.49,
47,John Brown,BUF,WR,39,50,4.78,
48,Mike Wallace,FA,WR,41,53,4.99,
49,Jordan Matthews,SF,WR,44,49,2.05,
50,Marvin Jones,DET,WR,44,51,3.09,
51,Robby Anderson,CAR,WR,47,59,5.10,
52,Devin Funchess,GB,WR,52,61,3.86,
53,Corey Davis,TEN,WR,50,63,5.44,
54,Kendall Wright,FA,WR,51,62,4.97,
55,Zay Jones,LV,WR,53,62,3.74,
56,Cole Beasley,BUF,WR,52,67,6.24,
57,Marqise Lee,JAC,WR,48,66,8.49,
58,Kenny Stills,HOU,WR,56,64,3.27,
59,Tyler Lockett,SEA,WR,53,75,9.18,
60,Kevin White,FA,WR,54,70,6.68,
61,Sterling Shepard,NYG,WR,52,76,9.80,
62,Paul Richardson Jr.,FA,WR,54,58,2.00,
63,Danny Amendola,DET,WR,62,68,2.62,
64,Nelson Agholor,LV,WR,58,75,7.41,
65,Cooper Kupp,LAR,WR,60,73,5.31,
66,Breshad Perriman,NYJ,WR,55,85,12.47,
67,Allen Hurns,MIA,WR,55,68,6.50,
68,Mohamed Sanu,NE,WR,55,78,9.63,
69,Kenny Golladay,DET,WR,64,76,5.44,
70,Chris Conley,JAC,WR,57,70,6.50,
71,Robert Woods,LAR,WR,58,69,5.50,
72,Tavon Austin,FA,WR,63,82,8.34,
73,Josh Doctson,NYJ,WR,56,84,11.59,
74,Taylor Gabriel,FA,WR,67,77,4.19,
75,J.J. Nelson,FA,WR,69,77,3.77,
76,John Ross,CIN,WR,57,80,11.50,
77,Will Fuller,HOU,WR,72,76,1.70,
78,Travis Benjamin,SF,WR,72,74,1.00,
79,Malcolm Mitchell,FA,WR,72,74,1.00,
80,Brandon LaFell,FA,WR,68,79,5.50,
81,Marquise Goodwin,SF,WR,71,71,0.00,
82,Eli Rogers,FA,WR,71,71,0.00,
83,Torrey Smith,FA,WR,77,78,0.47,
84,Curtis Samuel,CAR,WR,73,80,3.50,
85,Josh Gordon,FA,WR,73,73,0.00,
86,Jermaine Kearse,FA,WR,79,79,0.00,
87,Jaron Brown,FA,WR,79,79,0.00,
88,Brandon Coleman,FA,WR,80,80,0.00,
89,Terrance Williams,FA,WR,81,81,0.00,
90,Kamar Aiken,FA,WR,83,83,0.00,
