FantasyPros.com 
2016 NFL Rankings 


Rank,Player Name,Team,Position,Min,Max,STD Dev
1,David Johnson,HOU,RB,1,2,0.40,
2,Todd Gurley,ATL,RB,1,4,1.02,
3,Ezekiel Elliott,DAL,RB,2,5,1.02,
4,Lamar Miller,FA,RB,2,5,1.02,
5,Adrian Peterson,WAS,RB,3,7,1.62,
6,Le'Veon Bell,NYJ,RB,5,8,1.10,
7,Mark Ingram II,BAL,RB,8,9,0.40,
8,Devonta Freeman,FA,RB,5,14,3.29,
9,Doug Martin,FA,RB,6,13,2.58,
10,C.J. Anderson,FA,RB,7,12,1.62,
11,Eddie Lacy,FA,RB,7,14,2.24,
12,LeSean McCoy,FA,RB,9,15,2.15,
13,Latavius Murray,NO,RB,12,18,2.71,
14,Carlos Hyde,FA,RB,13,20,2.32,
15,Matt Forte,FA,RB,12,21,3.03,
16,DeMarco Murray,FA,RB,13,17,1.55,
17,Jeremy Hill,FA,RB,12,30,6.34,
18,Jeremy Langford,FA,RB,14,20,2.23,
19,Jamaal Charles,FA,RB,10,27,5.75,
20,Melvin Gordon,DEN,RB,16,29,5.19,
21,Ryan Mathews,FA,RB,18,28,3.26,
22,Thomas Rawls,FA,RB,19,25,2.15,
23,Giovani Bernard,CIN,RB,13,30,5.84,
24,Arian Foster,FA,RB,20,36,5.99,
25,Jonathan Stewart,FA,RB,21,29,3.19,
26,Duke Johnson,HOU,RB,21,29,2.93,
27,Derrick Henry,TEN,RB,19,37,6.15,
28,Rashad Jennings,FA,RB,19,34,5.20,
29,Frank Gore,FA,RB,24,39,5.46,
30,Spencer Ware,KC,RB,23,40,6.28,
31,Chris Ivory,FA,RB,25,40,5.46,
32,Danny Woodhead,FA,RB,25,34,4.26,
33,Matt Jones,FA,RB,26,35,3.50,
34,Charles Sims,FA,RB,30,40,3.54,
35,Ameer Abdullah,MIN,RB,32,47,5.82,
36,DeAngelo Williams,FA,RB,33,40,2.24,
37,Bilal Powell,FA,RB,33,45,5.43,
38,T.J. Yeldon,BUF,RB,38,43,2.06,
39,Isaiah Crowell,FA,RB,31,47,5.57,
40,LeGarrette Blount,FA,RB,31,52,7.00,
41,Christine Michael,FA,RB,32,47,5.31,
42,Theo Riddick,FA,RB,36,43,2.74,
43,Tevin Coleman,SF,RB,42,47,1.72,
44,James White,NE,RB,37,46,3.64,
45,Terrance West,FA,RB,41,50,3.01,
46,Darren Sproles,FA,RB,36,51,6.06,
47,Jay Ajayi,FA,RB,34,55,7.12,
48,Jerick McKinnon,SF,RB,38,44,2.62,
49,DeAndre Washington,LV,RB,39,54,6.13,
50,Kenneth Dixon,NYJ,RB,36,59,9.39,
51,James Starks,FA,RB,48,54,2.29,
52,Justin Forsett,FA,RB,42,61,8.18,
53,Devontae Booker,DEN,RB,50,55,2.05,
54,Alfred Morris,FA,RB,48,63,6.85,
55,Robert Kelley,FA,RB,48,50,1.00,
56,Javorius Allen,NYG,RB,49,49,0.00,
57,Shaun Draughn,FA,RB,41,41,0.00,
58,Shane Vereen,FA,RB,48,48,0.00,
59,Chris Thompson,FA,RB,53,58,2.50,
60,Dion Lewis,NYG,RB,53,53,0.00,
61,Jordan Howard,MIA,RB,57,57,0.00,
62,Mike Gillislee,FA,RB,56,56,0.00,
63,Paul Perkins,FA,RB,56,56,0.00,
64,Tim Hightower,FA,RB,58,62,2.00,
65,Chris Johnson,FA,RB,60,60,0.00,
66,Cameron Artis-Payne,FA,RB,64,64,0.00,
