,HPPR_G
0,7.345
1,1.63
2,8.85
3,5.025
4,4.47
5,1.4
6,1.01
7,0.775
8,0.76
9,3.24
10,2.12
11,1.29
12,1.275
13,0.7749999999999999
14,1.54
15,5.33
16,4.995
17,4.915
18,1.255
19,9.715
20,7.225
21,3.7600000000000002
22,1.06
23,1.44
24,0.535
25,6.355
26,4.94
27,7.845000000000001
28,7.220000000000001
29,5.18
30,3.9450000000000003
31,1.4449999999999998
32,9.885
33,9.649999999999999
34,8.195
35,4.395
36,4.55
37,2.965
38,1.27
39,1.205
40,10.85
41,9.754999999999999
42,5.17
43,4.31
44,2.21
45,0.96
46,0.55
47,2.69
48,3.1100000000000003
49,1.9849999999999999
50,0.5599999999999999
51,7.970000000000001
52,3.09
53,1.42
54,1.98
55,0.755
56,0.6599999999999999
57,0.53
58,5.8149999999999995
59,8.02
60,6.505
61,3.635
62,2.67
63,3.13
64,2.6550000000000002
65,1.3599999999999999
66,1.335
67,6.6899999999999995
68,5.859999999999999
69,3.54
70,3.92
71,3.16
72,3.4299999999999997
73,3.58
74,2.09
75,2.8899999999999997
76,1.73
77,0.515
78,0.68
79,8.465
80,6.5600000000000005
81,3.6900000000000004
82,3.21
83,3.075
84,2.99
85,3.275
86,1.13
87,0.695
88,8.79
89,7.9350000000000005
90,7.345
91,5.375
92,5.8149999999999995
93,5.640000000000001
94,4.385
95,3.985
96,4.0649999999999995
97,4.865
98,3.3049999999999997
99,0.915
100,0.75
101,11.9
102,9.735
103,9.885
104,8.465
105,6.66
106,5.885
107,4.49
108,4.51
109,3.7649999999999997
110,5.635
111,5.47
112,1.51
113,1.89
114,1.875
115,0.855
116,0.5900000000000001
117,13.5
118,9.245
119,6.3
120,5.484999999999999
121,3.3249999999999997
122,2.3649999999999998
123,1.955
124,1.58
125,1.1099999999999999
126,0.705
127,1.8299999999999998
128,5.195
129,3.18
130,6.385
131,5.755
132,1.73
133,6.085
134,10.85
135,5.515000000000001
136,1.575
137,1.1600000000000001
138,11.850000000000001
139,2.4699999999999998
140,2.965
141,1.8800000000000001
142,11.3
143,10.3
144,9.600000000000001
145,5.225
146,4.83
147,3.915
148,4.395
149,1.74
150,1.0550000000000002
151,16.05
152,17.05
153,13.45
154,11.1
155,5.6850000000000005
156,4.9350000000000005
157,2.865
158,1.575
159,0.64
160,11.795
161,11.850000000000001
162,12.75
163,7.305
164,2.4699999999999998
165,2.965
166,1.8800000000000001
167,1.6099999999999999
168,0.865
169,16.55
170,12.3
171,14.65
172,15.1
173,5.49
174,4.95
175,5.595000000000001
176,3.28
177,1.21
178,0.925
179,0.6
180,16.4
181,18.200000000000003
182,9.870000000000001
183,6.455
184,5.425
185,6.6899999999999995
186,1.67
187,0.95
188,14.75
189,11.565
190,11.120000000000001
191,14.7
192,8.02
193,3.965
194,3.645
195,2.7800000000000002
196,1.47
197,0.91
198,12.3
199,7.725
200,7.755
201,8.355
202,4.734999999999999
203,4.88
204,3.245
205,1.31
206,0.735
207,14.3
208,12.35
209,11.45
210,13.15
211,7.875
212,6.164999999999999
213,4.18
214,3.7249999999999996
215,4.615
216,2.495
217,0.55
218,9.385
219,8.7
220,5.615
221,6.8
222,4.29
223,2.98
224,1.34
225,12.275
226,10.45
227,13.7
228,9.004999999999999
229,5.035
230,5.4350000000000005
231,2.795
232,2.9050000000000002
233,1.3199999999999998
234,12.9
235,8.84
236,8.615
237,4.3100000000000005
238,3.7199999999999998
239,2.875
240,1.875
241,1.19
242,1.17
243,14.15
244,19.3
245,11.665
246,9.785
247,9.465
248,6.734999999999999
249,4.255
250,2.48
251,1.605
252,1.075
253,11.879999999999999
254,16.4
255,8.2
256,5.62
257,4.35
258,2.865
259,2.0149999999999997
260,1.505
261,1.3399999999999999
262,12.9
263,5.46
264,4.949999999999999
265,3.935
266,5.945
267,4.325
268,1.64
269,0.73
270,0.5900000000000001
271,13.850000000000001
272,9.455
273,3.81
274,3.25
275,0.9
276,0.695
277,0.675
278,9.525
279,8.74
280,10.295
281,5.915
282,5.09
283,2.59
284,2.105
285,0.625
286,5.88
287,13.5
288,8.39
289,8.215
290,5.155
291,1.85
292,0.74
293,16.65
294,9.64
295,10.75
296,4.2
297,0.58
298,9.735
299,12.899999999999999
300,15.05
301,7.67
302,6.404999999999999
303,4.08
304,4.035
305,3.58
306,0.655
307,9.45
308,12.600000000000001
309,14.8
310,6.655
311,6.505000000000001
312,6.135
313,3.01
314,2.83
315,0.685
316,16.65
317,9.64
318,10.75
319,6.59
320,3.92
321,4.05
322,4.2
323,0.64
324,0.675
325,0.58
326,12.225
327,8.525
328,8.725
329,7.265
330,6.904999999999999
331,6.800000000000001
332,3.635
333,0.825
334,0.7
335,17.35
336,13.9
337,8.555
338,7.68
339,2.215
340,1.19
341,0.7
342,14.05
343,10.295
344,13.75
345,13.25
346,9.379999999999999
347,6.32
348,5.84
349,2.0549999999999997
350,1.985
351,1.45
352,1.11
353,1.655
354,0.8300000000000001
355,16.25
356,13.85
357,15.9
358,8.54
359,8.2
360,7.57
361,2.875
362,2.77
363,1.79
364,1.6
365,0.9450000000000001
366,0.62
367,14.0
368,14.25
369,17.35
370,10.615
371,4.720000000000001
372,3.465
373,1.13
374,0.905
375,13.899999999999999
376,13.95
377,19.1
378,11.705
379,10.405000000000001
380,7.17
381,4.33
382,2.895
383,0.855
384,11.1
385,15.5
386,9.845
387,10.99
388,7.675
389,9.095
390,5.465
391,2.49
392,16.35
393,17.8
394,12.315
395,8.780000000000001
396,7.915
397,5.755
398,7.13
399,4.155
400,3.09
401,1.6949999999999998
402,1.0350000000000001
403,18.65
404,19.049999999999997
405,14.7
406,6.755000000000001
407,4.89
408,2.605
409,1.845
410,1.3399999999999999
411,0.61
412,16.15
413,21.95
414,15.700000000000001
415,13.5
416,9.440000000000001
417,7.96
418,3.415
419,3.385
420,6.255
421,2.795
422,0.9149999999999999
423,13.0
424,13.0
425,10.3
426,14.3
427,9.365
428,5.955
429,4.085
430,3.13
431,1.8050000000000002
432,0.9750000000000001
433,16.85
434,22.15
435,11.1
436,7.975
437,9.325
438,2.01
439,1.62
440,1.53
441,1.3050000000000002
442,15.0
443,11.85
444,12.75
445,17.8
446,12.015
447,5.175
448,4.65
449,1.83
450,0.8600000000000001
451,0.61
452,19.85
453,7.855
454,6.67
455,6.4350000000000005
456,1.845
457,9.33
458,11.6
459,11.2
460,7.550000000000001
461,2.15
462,9.51
463,13.25
464,7.244999999999999
465,3.7299999999999995
466,5.805
467,2.075
468,1.97
469,0.83
470,0.9950000000000001
471,10.25
472,10.455
473,9.665
474,11.45
475,6.765
476,8.335
477,1.91
478,2.4000000000000004
479,0.55
480,9.33
481,11.6
482,9.629999999999999
483,11.2
484,7.550000000000001
485,2.79
486,3.0549999999999997
487,2.15
488,3.245
489,0.7050000000000001
490,14.05
491,11.844999999999999
492,7.57
493,4.46
494,4.815
495,3.12
496,4.33
497,1.24
498,11.149999999999999
499,10.95
500,10.395
501,7.965
502,4.67
503,1.2650000000000001
504,0.8049999999999999
505,0.595
506,18.1
507,11.33
508,9.59
509,13.0
510,7.64
511,5.635
512,4.8100000000000005
513,3.41
514,2.01
515,15.350000000000001
516,9.79
517,14.7
518,9.515
519,8.455
520,5.65
521,4.5600000000000005
522,2.165
523,1.6099999999999999
524,21.05
525,13.05
526,9.67
527,6.870000000000001
528,4.335
529,4.925
530,1.11
531,1.025
532,15.8
533,9.940000000000001
534,8.705
535,14.7
536,10.035
537,4.445
538,2.1399999999999997
539,2.56
540,0.885
541,10.695
542,13.0
543,9.95
544,4.755
545,6.605
546,5.635
547,2.85
548,2.75
549,1.155
550,14.100000000000001
551,10.469999999999999
552,11.254999999999999
553,16.4
554,6.720000000000001
555,3.7649999999999997
556,2.7
557,1.15
558,10.025
559,16.4
560,10.75
561,8.16
562,4.795
563,1.81
564,9.629999999999999
565,10.445
566,15.25
567,10.695
568,7.895
569,3.34
570,3.46
571,2.145
572,0.81
573,10.635
574,11.6
575,8.95
576,8.35
577,6.66
578,6.835
579,4.15
580,3.33
581,5.29
582,2.41
583,1.87
584,1.17
585,15.2
586,7.6850000000000005
587,10.15
588,6.615
589,6.45
590,5.45
591,2.29
592,2.04
593,2.2350000000000003
594,27.7
595,15.35
596,11.665
597,5.585
598,4.970000000000001
599,3.875
600,3.72
601,3.0999999999999996
602,15.05
603,8.635
604,7.8149999999999995
605,8.93
606,3.56
607,3.335
608,1.57
609,4.615
610,5.220000000000001
611,5.470000000000001
612,11.2
613,10.27
614,4.890000000000001
615,4.205
616,1.275
617,1.925
618,0.53
619,0.5700000000000001
620,11.600000000000001
621,9.0
622,9.735
623,9.11
624,4.55
625,2.2800000000000002
626,1.4
627,1.675
628,0.53
629,13.600000000000001
630,11.45
631,11.3
632,4.615
633,5.220000000000001
634,5.470000000000001
635,3.715
636,3.23
637,0.745
638,0.52
639,8.895
640,7.640000000000001
641,5.625
642,4.345
643,3.34
644,3.085
645,3.17
646,14.0
647,9.675
648,11.35
649,7.775
650,7.22
651,3.7
652,3.3899999999999997
653,1.79
654,12.100000000000001
655,9.475
656,7.82
657,9.100000000000001
658,6.765
659,8.405000000000001
660,3.395
661,1.3399999999999999
662,12.95
663,10.575
664,15.700000000000001
665,7.645
666,8.825
667,1.065
668,0.855
669,0.6799999999999999
670,11.29
671,19.15
672,14.100000000000001
673,8.66
674,7.965
675,6.640000000000001
676,3.625
677,3.985
678,5.085
679,0.8300000000000001
680,14.65
681,11.145
682,13.4
683,7.505
684,9.8
685,7.39
686,3.5300000000000002
687,2.3449999999999998
688,0.9450000000000001
689,13.25
690,9.215
691,8.74
692,6.39
693,3.705
694,0.65
695,11.145
696,14.7
697,8.275
698,5.71
699,5.205
700,4.005
701,6.58
702,2.675
