,HPPR_G
0,8.85
1,5.025
2,4.47
3,1.4
4,1.01
5,0.775
6,0.76
7,3.24
8,2.12
9,1.29
10,1.275
11,0.7749999999999999
12,1.54
13,5.33
14,4.995
15,4.915
16,1.255
17,9.715
18,7.225
19,3.7600000000000002
20,1.09
21,1.06
22,1.44
23,0.535
24,6.355
25,4.94
26,7.845000000000001
27,7.220000000000001
28,5.18
29,3.9450000000000003
30,1.4449999999999998
31,9.885
32,9.649999999999999
33,8.195
34,4.395
35,4.55
36,2.965
37,1.27
38,1.205
39,10.85
40,9.754999999999999
41,5.17
42,4.31
43,2.21
44,0.96
45,0.55
46,2.69
47,3.1100000000000003
48,1.9849999999999999
49,0.5599999999999999
50,7.970000000000001
51,3.09
52,1.42
53,1.98
54,0.755
55,0.6599999999999999
56,0.53
57,5.8149999999999995
58,8.02
59,6.505
60,3.635
61,2.67
62,3.13
63,2.6550000000000002
64,1.3599999999999999
65,1.335
66,6.6899999999999995
67,5.859999999999999
68,3.54
69,3.92
70,3.16
71,3.4299999999999997
72,3.58
73,2.09
74,2.8899999999999997
75,1.73
76,0.515
77,0.68
78,8.465
79,6.5600000000000005
80,3.6900000000000004
81,3.21
82,3.075
83,2.99
84,3.275
85,1.13
86,0.695
87,8.79
88,7.9350000000000005
89,7.345
90,5.375
91,5.8149999999999995
92,5.640000000000001
93,4.385
94,3.985
95,4.0649999999999995
96,4.865
97,3.3049999999999997
98,0.915
99,0.75
100,11.9
101,9.735
102,9.885
103,8.465
104,6.66
105,5.885
106,4.49
107,4.51
108,3.7649999999999997
109,5.635
110,5.47
111,1.51
112,1.89
113,1.875
114,0.855
115,0.5900000000000001
116,13.5
117,9.245
118,6.3
119,5.484999999999999
120,3.3249999999999997
121,2.3649999999999998
122,1.955
123,1.58
124,1.1099999999999999
125,0.705
126,1.8299999999999998
127,5.195
128,3.18
129,8.344999999999999
130,6.385
131,5.755
132,1.73
133,11.850000000000001
134,2.4699999999999998
135,2.965
136,1.8800000000000001
137,11.3
138,10.3
139,9.600000000000001
140,5.225
141,4.83
142,3.915
143,4.395
144,1.74
145,1.0550000000000002
146,16.05
147,17.05
148,13.45
149,11.1
150,5.6850000000000005
151,4.9350000000000005
152,2.865
153,1.575
154,0.64
155,11.795
156,11.850000000000001
157,12.75
158,7.305
159,2.4699999999999998
160,2.965
161,1.8800000000000001
162,1.6099999999999999
163,0.865
164,16.55
165,12.3
166,14.65
167,15.1
168,5.49
169,4.95
170,5.595000000000001
171,3.28
172,1.21
173,0.925
174,0.6
175,16.4
176,18.200000000000003
177,9.870000000000001
178,6.455
179,5.425
180,6.6899999999999995
181,1.67
182,0.95
183,14.75
184,11.565
185,11.120000000000001
186,14.7
187,8.02
188,3.965
189,3.645
190,2.7800000000000002
191,1.47
192,0.91
193,12.3
194,7.725
195,7.755
196,8.355
197,4.734999999999999
198,4.88
199,3.245
200,1.31
201,0.735
202,14.3
203,12.35
204,11.45
205,13.15
206,7.875
207,6.164999999999999
208,4.18
209,3.7249999999999996
210,4.615
211,2.495
212,0.55
213,9.385
214,8.7
215,5.615
216,6.8
217,4.29
218,2.98
219,1.34
220,12.275
221,10.45
222,13.7
223,9.004999999999999
224,5.035
225,5.4350000000000005
226,2.795
227,2.9050000000000002
228,1.3199999999999998
229,12.9
230,8.84
231,8.615
232,4.3100000000000005
233,3.7199999999999998
234,2.875
235,1.875
236,1.19
237,1.17
238,14.15
239,19.3
240,11.665
241,9.785
242,9.465
243,6.734999999999999
244,4.255
245,2.48
246,1.605
247,1.075
248,11.879999999999999
249,16.4
250,8.2
251,5.62
252,4.35
253,2.865
254,2.0149999999999997
255,1.505
256,1.3399999999999999
257,12.9
258,5.46
259,4.949999999999999
260,3.935
261,5.945
262,4.325
263,1.64
264,0.73
265,0.5900000000000001
266,13.850000000000001
267,9.455
268,3.81
269,3.25
270,0.9
271,0.695
272,0.675
273,9.525
274,8.74
275,10.295
276,5.915
277,5.09
278,2.59
279,2.105
280,0.625
281,16.65
282,9.64
283,10.75
284,4.2
285,0.58
286,9.735
287,12.899999999999999
288,15.05
289,7.67
290,6.404999999999999
291,4.08
292,4.035
293,3.58
294,0.655
295,9.45
296,12.600000000000001
297,14.8
298,6.655
299,6.505000000000001
300,6.135
301,3.01
302,2.83
303,0.685
304,16.65
305,9.64
306,10.75
307,6.59
308,3.92
309,4.05
310,4.2
311,0.64
312,0.675
313,0.58
314,12.225
315,8.525
316,8.725
317,7.265
318,6.904999999999999
319,6.800000000000001
320,3.635
321,0.825
322,0.7
323,17.35
324,13.9
325,8.555
326,7.68
327,2.215
