var,Y1,Y2,Y3,Y4
HPPR_G,1.0,1.0,1.0,1.0
Tm-1,0.16814613011371896,0.2258590795727807,0.20955560809461182,0.2309937041563382
Age-1,0.12308728551988854,0.12102497280355554,0.11358643799677133,0.12150378683480313
G-1,0.12438815384366352,0.12339698473488153,0.11957698097426445,0.1229802821223594
GS-1,0.45770440751063585,0.34671062224143445,0.2809743475533298,0.24208132593265758
Pass_Att_G-1,0.46505542408443673,0.426044439005807,0.38698217034877314,0.3614035040463958
Pass_Comp_G-1,0.4684884965026278,0.4291763810811087,0.38886295780189645,0.36290853769694553
Pass_Int_G-1,0.4175203688779447,0.38312371967508235,0.3457051665311711,0.3258047331355938
Pass_TD_G-1,0.4639463348066917,0.42696440362508303,0.3890493561639835,0.3614963215160033
Pass_Yds_G-1,0.4704307575267735,0.431483824116137,0.39188164410886167,0.36430222427324227
REC_1D-1,0.2694515421305012,0.2108810704583931,0.16228918822022959,0.13213258889213203
REC_Ctch%-1,-0.1568165684338656,-0.07153781724074448,-0.035363194270751935,-0.009757506614718657
REC_FL_G-1,0.39141137694311484,0.33817996010340196,0.31010791259413273,0.3005048068210207
REC_Fmb_G-1,0.4414444452422231,0.37835149611996144,0.3514862773924037,0.3396135935961674
REC_Rec-1,0.2885409115890518,0.21827602896374693,0.1674478468410896,0.13414219921992843
REC_Rec_G-1,0.2865503405222,0.22083443584360762,0.1668957665779355,0.1343958299797254
REC_TD-1,0.23372324498040647,0.1746702506700302,0.1324216155763577,0.10373160133222684
REC_TD_G-1,0.22467256276905032,0.1779655006382992,0.14024254682930398,0.10416765772304316
REC_T_Tgt-1,-0.0820590798319095,-0.025888029762492333,-0.00666991859276508,0.011999075200425717
REC_Tgt-1,0.2665473016023402,0.2009277127137738,0.15607369235607388,0.12544797761617932
REC_Tgt_G-1,0.2648839262514419,0.2025745037184808,0.15617109835912005,0.12701752956230739
REC_Y_R-1,-0.11075865502106635,-0.04708267989326947,-0.02321411462747447,-0.00033313601000891974
REC_Yds-1,0.28163008254175115,0.22009147460424872,0.168092212290103,0.13775349178614849
REC_Yds_G-1,0.2804777585865143,0.22198362214551234,0.17013414807610194,0.13714343888351846
RSH_1D-1,0.3684511250424572,0.2973452220292314,0.24268120063386167,0.20325842487121015
RSH_Att-1,0.3330411656182769,0.2658599343392927,0.219837425082948,0.17949246773367616
RSH_Att_G-1,0.3308415046036034,0.27205542961350343,0.22468524795862022,0.18085217469997322
RSH_TD-1,0.33490027077248163,0.26825531660617835,0.22053273827942121,0.1798249529705275
RSH_TD_G-1,0.33349290241546026,0.2704890369994024,0.22948556419089175,0.1803232619618717
RSH_Y_A-1,0.1735582558615399,0.18453723983514078,0.14464147050478068,0.1462092822911573
RSH_Yds-1,0.34070345569816457,0.26937778779859917,0.21843591656371517,0.1806243843716107
RSH_Yds_G-1,0.3389828457493618,0.27596537113837116,0.22561201568770983,0.18199474491617296
Total_TD-1,0.43103810815344046,0.3250094741675643,0.2488547297190056,0.19498105796592968
Total_TD_G-1,0.42693042805878273,0.3303882256822344,0.26315995304337,0.19735472483616606
Total_Tch-1,0.40930635549061745,0.3164856409042588,0.25384465847846904,0.2038172622929252
YScm-1,0.45987622118212806,0.3445543959792065,0.2624136674556572,0.21064281607175603
Y_Tch-1,-0.07427390698468739,-0.010141486938457428,0.0038494536664695337,0.030682888617483035
